editid,editor,oldrevisionid,newrevisionid,diffurl,edittime,editcomment,articleid,articletitle,editid_1,class,sort
16850,PseudoBot,327731092,327731115,http://en.wikipedia.org/w/index.php?diff=327731115&oldid=327731092,2009-11-24T20:52:20Z,Reverting edits by [[Special:Contributions/78.147.147.11|78.147.147.11]]: page linked does not exist,8357,1-Dec,16850,regular,0.507195811
15913,Rich Farmbrough,302568267,329017943,http://en.wikipedia.org/w/index.php?diff=329017943&oldid=302568267,2009-12-01T12:21:37Z,Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:AutoWikiBrowser|AWB]],21375805,1939 Brooklyn Dodgers (NFL) season,15913,regular,0.883928471
13922,203.214.149.247,313679642,327004362,http://en.wikipedia.org/w/index.php?diff=327004362&oldid=313679642,2009-11-20T22:10:40Z,/* Former Employees */,1524699,TUNE! FM,13922,regular,0.075329263
37174,68.106.138.31,329529462,329530022,http://en.wikipedia.org/w/index.php?diff=329530022&oldid=329529462,2009-12-03T20:56:57Z,/* Grammy Awards */ Oops,1535727,Carrie Underwood,37174,regular,0.726136044
11654,205.143.219.98,326624512,327182492,http://en.wikipedia.org/w/index.php?diff=327182492&oldid=326624512,2009-11-21T22:18:47Z,/* Gameplay */,11897786,Mystic Warriors,11654,regular,0.42091545
30084,Garion96,328665897,328766847,http://en.wikipedia.org/w/index.php?diff=328766847&oldid=328665897,2009-11-30T09:15:39Z,fix,3283824,Ladislav Adamec,30084,regular,0.064369329
31159,Zyxw,311944515,327997536,http://en.wikipedia.org/w/index.php?diff=327997536&oldid=311944515,2009-11-26T05:59:44Z,change redirect to disambiguation,19708812,Exeter Airport,31159,regular,0.792684252
27655,Saippuakauppias,328060575,328060859,http://en.wikipedia.org/w/index.php?diff=328060859&oldid=328060575,2009-11-26T16:32:23Z,/* United States */ Comparison of the imperial and US customary measurement systems,15492,Imperial units,27655,regular,0.114438605
25730,77.251.52.48,329315790,329744275,http://en.wikipedia.org/w/index.php?diff=329744275&oldid=329315790,2009-12-04T21:41:51Z,null,637072,History of the Netherlands (1939–1945),25730,regular,0.704124636
5917,Un4tunate,327863659,327864314,http://en.wikipedia.org/w/index.php?diff=327864314&oldid=327863659,2009-11-25T14:17:43Z,null,25193476,El Sueño de Morfeo (album),5917,regular,0.12253141
36369,PseudoBot,326868136,326868152,http://en.wikipedia.org/w/index.php?diff=326868152&oldid=326868136,2009-11-20T04:01:03Z,Reverting edits by [[Special:Contributions/96.241.183.184|96.241.183.184]]: page linked does not exist,18951826,4-Apr,36369,regular,0.383620702
9876,Mainly.generic,327826995,327827094,http://en.wikipedia.org/w/index.php?diff=327827094&oldid=327826995,2009-11-25T07:59:02Z,/* Directors Guild of America Awards */,25173783,List of awards and nominations received by Saturday Night Live,9876,regular,0.21346974
40952,60.50.147.237,328403861,328561246,http://en.wikipedia.org/w/index.php?diff=328561246&oldid=328403861,2009-11-29T10:32:01Z,/* GeForce 200 Series */,3263352,Comparison of Nvidia graphics processing units,40952,regular,0.581367622
36199,Rich Farmbrough,328784851,329550764,http://en.wikipedia.org/w/index.php?diff=329550764&oldid=328784851,2009-12-03T22:34:46Z,Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:AutoWikiBrowser|AWB]],16477424,3928 Randa,36199,regular,0.596531741
18224,Jomig,327717226,328030600,http://en.wikipedia.org/w/index.php?diff=328030600&oldid=327717226,2009-11-26T12:06:53Z,/* Face Oculta scandal */,1021741,José Sócrates,18224,regular,0.965634081
41032,Paine Ellsworth,325418683,327227559,http://en.wikipedia.org/w/index.php?diff=327227559&oldid=325418683,2009-11-22T03:40:20Z,add coordinates to infobox,1242993,Road Town,41032,regular,0.781888672
36046,69.178.65.58,326667743,326842861,http://en.wikipedia.org/w/index.php?diff=326842861&oldid=326667743,2009-11-20T01:11:11Z,null,19053,Mineral,36046,regular,0.727563434
31657,203.142.80.154,329011857,329207123,http://en.wikipedia.org/w/index.php?diff=329207123&oldid=329011857,2009-12-02T08:03:32Z,/* Mystery */,12178073,Gandhi Memorial International School,31657,regular,0.038940202
10960,190.10.0.114,327145508,327226411,http://en.wikipedia.org/w/index.php?diff=327226411&oldid=327145508,2009-11-22T03:30:57Z,null,3432855,Ghost of Christmas Present,10960,regular,0.88958516
2816,Cyclonebiskit,328089014,328089666,http://en.wikipedia.org/w/index.php?diff=328089666&oldid=328089014,2009-11-26T19:58:55Z,more impact in lead,3332585,Hurricane Bret (1999),2816,regular,0.541210699
20270,86.180.152.32,326786027,326979624,http://en.wikipedia.org/w/index.php?diff=326979624&oldid=326786027,2009-11-20T19:37:44Z,/* Horrid Henry for Younger Children */,177248,Horrid Henry,20270,regular,0.996711718
9059,Samarien,328872882,328873088,http://en.wikipedia.org/w/index.php?diff=328873088&oldid=328872882,2009-11-30T20:37:37Z,/* Newspapers */,81830,Amiens,9059,regular,0.878199727
42099,Grapesoda22,327695883,327781998,http://en.wikipedia.org/w/index.php?diff=327781998&oldid=327695883,2009-11-25T01:42:29Z,/* Soundtrack */,6697503,Aqua Teen Hunger Force Colon Movie Film for Theaters,42099,regular,0.626507049
44297,Chris G,310391652,327989837,http://en.wikipedia.org/w/index.php?diff=327989837&oldid=310391652,2009-11-26T04:43:38Z,Replacing {{IPAr|pl| with {{IPAc-pl|,18360305,Branice,44297,regular,0.320015553
22874,Kaldari,329377877,329525505,http://en.wikipedia.org/w/index.php?diff=329525505&oldid=329377877,2009-12-03T20:35:27Z,/* Biographies */ linking title,19834,Mary Wollstonecraft,22874,regular,0.707322754
18522,Secret,328035874,329450860,http://en.wikipedia.org/w/index.php?diff=329450860&oldid=328035874,2009-12-03T13:28:30Z,[[Help:Reverting|Reverted]] edits by [[Special:Contributions/Tommy wheel|Tommy wheel]] ([[User talk:Tommy wheel|talk]]) to last version by Alan16,194383,Terry Kirkman,18522,regular,0.303639009
30698,98.71.222.98,326542802,328574052,http://en.wikipedia.org/w/index.php?diff=328574052&oldid=326542802,2009-11-29T12:33:14Z,/* Brazil */,15707077,Frontier justice,30698,regular,0.55995474
41877,Seb az86556,328002599,328002650,http://en.wikipedia.org/w/index.php?diff=328002650&oldid=328002599,2009-11-26T06:55:21Z,Reverted 2 edits by [[Special:Contributions/70.59.80.82|70.59.80.82]] identified as [[WP:VAND|vandalism]] to last revision by [[User:LaVidaLoca|LaVidaLoca]]. ([[WP:TW|TW]]),43568,Tom Hanks,41877,regular,0.483462487
9891,Ucucha,318718513,328278222,http://en.wikipedia.org/w/index.php?diff=328278222&oldid=318718513,2009-11-27T22:41:58Z,[[WP:AES|←]]Redirected page to [[Oligoryzomys griseolus]],24622055,Grizzled Colilargo,9891,regular,0.041158183
21843,83.253.72.178,327680065,327680211,http://en.wikipedia.org/w/index.php?diff=327680211&oldid=327680065,2009-11-24T15:46:19Z,/* Norway–Sweden */,7932564,UEFA Euro 2016,21843,regular,0.10098202
8755,Hoverfish,329661684,329697522,http://en.wikipedia.org/w/index.php?diff=329697522&oldid=329661684,2009-12-04T17:30:04Z,/* Collection */ linked some,16811875,Museum of Popular Music Instruments,8755,regular,0.999555307
38720,Joao Xavier,326888396,326890105,http://en.wikipedia.org/w/index.php?diff=326890105&oldid=326888396,2009-11-20T07:33:03Z,#NAME?,2165638,Francisco Rodríguez (President of Panama),38720,regular,0.93007597
40665,Zypo,328229254,328239177,http://en.wikipedia.org/w/index.php?diff=328239177&oldid=328229254,2009-11-27T17:54:53Z,null,21242497,Rebirth (Lil Wayne album),40665,regular,0.947081013
38161,Drmies,328460072,328460413,http://en.wikipedia.org/w/index.php?diff=328460413&oldid=328460072,2009-11-28T22:19:35Z,"/* 2009-present: Fourth studio album */ rm chit-chat. were writing an encyclopedia here, not a gossip column.",1126578,Ciara,38161,regular,0.11514115
2041,Huaiwei,304564001,326818365,http://en.wikipedia.org/w/index.php?diff=326818365&oldid=304564001,2009-11-19T22:44:00Z,"clean up, removed Stub tag using [[Project:AutoWikiBrowser|AWB]]",4332752,Indian Film Festival of Los Angeles,2041,regular,0.797726763
19561,Epipelagic,327042823,327042924,http://en.wikipedia.org/w/index.php?diff=327042924&oldid=327042823,2009-11-21T02:32:37Z,doh,950454,Electric fish,19561,regular,0.591842442
44713,Elekimante,329523363,329669402,http://en.wikipedia.org/w/index.php?diff=329669402&oldid=329523363,2009-12-04T14:43:00Z,/* Best Song */,20374801,MTV Europe Music Awards 1996,44713,regular,0.26540976
35160,174.89.243.84,327716516,327828091,http://en.wikipedia.org/w/index.php?diff=327828091&oldid=327716516,2009-11-25T08:10:06Z,/* Series 2 */,23220497,Alan Carr: Chatty Man,35160,regular,0.715853485
