editid,editor,oldrevisionid,newrevisionid,diffurl,edittime,editcomment,articleid,articletitle,editid_1,class
37,117.200.22.223,326934371,326934470,http://en.wikipedia.org/w/index.php?diff=326934470&oldid=326934371,2009-11-20T14:54:11Z,/* Indian Public Channels */,2942390,List of Telugu language television channels,37,vandalism
62,89.195.195.127,322057004,327830492,http://en.wikipedia.org/w/index.php?diff=327830492&oldid=322057004,2009-11-25T08:36:45Z,null,3601739,Newcastle College,62,vandalism
178,63.85.75.253,328807081,328816088,http://en.wikipedia.org/w/index.php?diff=328816088&oldid=328807081,2009-11-30T15:46:06Z,/* DVD compilations */,4483660,Wonder Pets,178,vandalism
214,69.246.32.204,329140606,329981137,http://en.wikipedia.org/w/index.php?diff=329981137&oldid=329140606,2009-12-06T01:54:38Z,/* Death toll */,319973,1967 Detroit riot,214,vandalism
228,68.204.159.250,327957547,329889623,http://en.wikipedia.org/w/index.php?diff=329889623&oldid=327957547,2009-12-05T16:30:04Z,/* Characters */,17845105,Vampire Kisses (series),228,vandalism
288,59.182.131.8,328815130,328815486,http://en.wikipedia.org/w/index.php?diff=328815486&oldid=328815130,2009-11-30T15:42:30Z,null,13841224,Shri Kirtiyash suriji,288,vandalism
298,74.232.101.78,327904664,328487575,http://en.wikipedia.org/w/index.php?diff=328487575&oldid=327904664,2009-11-29T00:57:45Z,/* Geography */,110327,"Conyers, Georgia",298,vandalism
328,Prettybutt,325533396,326941412,http://en.wikipedia.org/w/index.php?diff=326941412&oldid=325533396,2009-11-20T15:41:38Z,/* Peeps in cooking */,84239,Peeps,328,vandalism
340,204.39.36.142,324397004,327665731,http://en.wikipedia.org/w/index.php?diff=327665731&oldid=324397004,2009-11-24T14:00:41Z,null,1334379,Cancer research,340,vandalism
352,Jerusal,316622123,326944034,http://en.wikipedia.org/w/index.php?diff=326944034&oldid=316622123,2009-11-20T15:57:16Z,/* See also */,1194274,Google (disambiguation),352,vandalism
355,74.232.123.237,329307068,329575072,http://en.wikipedia.org/w/index.php?diff=329575072&oldid=329307068,2009-12-04T00:34:55Z,null,20958,Magna Carta,355,vandalism
426,74.195.102.90,320630922,328326174,http://en.wikipedia.org/w/index.php?diff=328326174&oldid=320630922,2009-11-28T05:07:52Z,null,641891,Pork roll,426,vandalism
